,emotion,freq,highly related,all related info
0,happy,4883,"['excited', 'proud', 'relieved', 'satisfied']","[('excited', 349), ('proud', 105), ('relieved', 99), ('satisfied', 83)]"
1,excited,2546,"['happy', 'nervous', 'proud', 'hopeful']","[('happy', 349), ('nervous', 68), ('proud', 35), ('hopeful', 30)]"
2,sad,1815,"['angry', 'disappointed', 'upset', 'scared']","[('angry', 87), ('disappointed', 59), ('upset', 41), ('scared', 28)]"
3,proud,1325,"['happy', 'accomplished', 'excited', 'satisfied']","[('happy', 105), ('accomplished', 39), ('excited', 35), ('satisfied', 16)]"
4,scared,1083,"['nervous', 'worried', 'sad', 'angry']","[('nervous', 63), ('worried', 34), ('sad', 28), ('angry', 23)]"
5,angry,1075,"['sad', 'upset', 'frustrated', 'disappointed']","[('sad', 87), ('upset', 55), ('frustrated', 49), ('disappointed', 38)]"
6,disappointed,979,"['sad', 'angry', 'upset', 'frustrated']","[('sad', 59), ('angry', 38), ('upset', 30), ('frustrated', 19)]"
7,relieved,967,"['happy', 'thankful', 'excited', 'grateful']","[('happy', 99), ('thankful', 16), ('excited', 15), ('grateful', 15)]"
8,nervous,913,"['excited', 'scared', 'anxious', 'worried']","[('excited', 68), ('scared', 63), ('anxious', 39), ('worried', 20)]"
9,annoyed,895,"['angry', 'frustrated', 'upset', 'disappointed']","[('angry', 33), ('frustrated', 21), ('upset', 17), ('disappointed', 16)]"
10,upset,838,"['angry', 'sad', 'disappointed', 'frustrated']","[('angry', 55), ('sad', 41), ('disappointed', 30), ('frustrated', 24)]"
11,surprised,838,"['happy', 'excited', 'scared', 'sad']","[('happy', 79), ('excited', 17), ('scared', 14), ('sad', 12)]"
12,frustrated,807,"['angry', 'upset', 'sad', 'annoyed']","[('angry', 49), ('upset', 24), ('sad', 22), ('annoyed', 21)]"
13,worried,706,"['scared', 'nervous', 'sad', 'anxious']","[('scared', 34), ('nervous', 20), ('sad', 16), ('anxious', 16)]"
14,satisfied,662,"['happy', 'content', 'proud', 'accomplished']","[('happy', 83), ('content', 20), ('proud', 16), ('accomplished', 11)]"
15,anxious,642,"['nervous', 'excited', 'scared', 'worried']","[('nervous', 39), ('excited', 22), ('scared', 20), ('worried', 16)]"
16,hopeful,634,"['excited', 'happy', 'determined', 'nervous']","[('excited', 30), ('happy', 26), ('determined', 22), ('nervous', 15)]"
17,determined,627,"['hopeful', 'excited', 'motivated', 'focused']","[('hopeful', 22), ('excited', 8), ('motivated', 7), ('focused', 5)]"
18,embarrassed,585,"['ashamed', 'sad', 'upset', 'angry']","[('ashamed', 24), ('sad', 22), ('upset', 20), ('angry', 11)]"
19,accomplished,498,"['proud', 'happy', 'satisfied', 'excited']","[('proud', 39), ('happy', 34), ('satisfied', 11), ('excited', 8)]"
20,grateful,458,"['happy', 'relieved', 'thankful', 'excited']","[('happy', 44), ('relieved', 15), ('thankful', 11), ('excited', 6)]"
21,content,426,"['happy', 'satisfied', 'relieved', 'excited']","[('happy', 63), ('satisfied', 20), ('relieved', 8), ('excited', 7)]"
22,anticipation,401,"['excited', 'joy', 'excitement', 'happy']","[('excited', 12), ('joy', 11), ('excitement', 7), ('happy', 7)]"
23,,365,"['excited', 'frustrated', 'thankful', 'guilty']","[('excited', 4), ('frustrated', 2), ('thankful', 1), ('guilty', 1)]"
24,helpful,354,"['happy', 'needed', 'generous', 'useful']","[('happy', 5), ('needed', 4), ('generous', 3), ('useful', 3)]"
25,tired,348,"['exhausted', 'frustrated', 'happy', 'relieved']","[('exhausted', 18), ('frustrated', 8), ('happy', 8), ('relieved', 6)]"
26,curious,342,"['excited', 'happy', 'interested', 'scared']","[('excited', 11), ('happy', 9), ('interested', 6), ('scared', 2)]"
27,afraid,337,"['sad', 'scared', 'nervous', 'embarrassed']","[('sad', 8), ('scared', 7), ('nervous', 4), ('embarrassed', 3)]"
28,confused,330,"['angry', 'frustrated', 'worried', 'surprised']","[('angry', 6), ('frustrated', 6), ('worried', 5), ('surprised', 5)]"
29,joy,328,"['happy', 'excited', 'anticipation', 'happiness']","[('happy', 22), ('excited', 15), ('anticipation', 11), ('happiness', 9)]"
30,hungry,314,"['happy', 'excited', 'tired', 'upset']","[('happy', 7), ('excited', 7), ('tired', 2), ('upset', 2)]"
31,positive,305,"['special', 'unique', 'relieved', 'hopeful']","[('special', 1), ('unique', 1), ('relieved', 1), ('hopeful', 1)]"
32,ashamed,300,"['embarrassed', 'sad', 'scared', 'guilty']","[('embarrassed', 24), ('sad', 13), ('scared', 6), ('guilty', 5)]"
33,guilty,299,"['sad', 'embarrassed', 'scared', 'ashamed']","[('sad', 11), ('embarrassed', 6), ('scared', 6), ('ashamed', 5)]"
34,eager,285,"['excited', 'happy', 'hopeful', 'anxious']","[('excited', 12), ('happy', 11), ('hopeful', 5), ('anxious', 4)]"
35,relaxed,274,"['happy', 'excited', 'content', 'relieved']","[('happy', 28), ('excited', 5), ('content', 5), ('relieved', 3)]"
36,confident,274,"['proud', 'happy', 'nervous', 'excited']","[('proud', 15), ('happy', 13), ('nervous', 7), ('excited', 6)]"
37,shocked,272,"['angry', 'scared', 'upset', 'sad']","[('angry', 16), ('scared', 13), ('upset', 7), ('sad', 6)]"
38,loved,246,"['happy', 'excited', 'grateful', 'wanted']","[('happy', 32), ('excited', 7), ('grateful', 4), ('wanted', 2)]"
39,fear,235,"['sad', 'scared', 'surprise', 'anger']","[('sad', 14), ('scared', 9), ('surprise', 6), ('anger', 5)]"
40,anger,227,"['sadness', 'frustration', 'sad', 'disgust']","[('sadness', 12), ('frustration', 9), ('sad', 8), ('disgust', 7)]"
41,thankful,218,"['happy', 'relieved', 'grateful', 'excited']","[('happy', 31), ('relieved', 16), ('grateful', 11), ('excited', 6)]"
42,disgusted,216,"['sad', 'angry', 'upset', 'annoyed']","[('sad', 10), ('angry', 7), ('upset', 7), ('annoyed', 7)]"
43,bored,207,"['lonely', 'tired', 'sad', 'happy']","[('lonely', 5), ('tired', 5), ('sad', 5), ('happy', 3)]"
44,concerned,204,"['worried', 'sad', 'nervous', 'caring']","[('worried', 15), ('sad', 5), ('nervous', 5), ('caring', 3)]"
45,amused,196,"['happy', 'surprised', 'embarrassed', 'confused']","[('happy', 4), ('surprised', 4), ('embarrassed', 2), ('confused', 2)]"
46,pleased,187,"['happy', 'excited', 'relieved', 'satisfied']","[('happy', 15), ('excited', 8), ('relieved', 5), ('satisfied', 3)]"
47,interested,184,"['curious', 'excited', 'happy', 'pleased']","[('curious', 6), ('excited', 4), ('happy', 3), ('pleased', 2)]"
48,depressed,178,"['sad', 'lost', 'disappointed', 'lonely']","[('sad', 18), ('lost', 4), ('disappointed', 4), ('lonely', 4)]"
49,surprise,174,"['fear', 'happy', 'anger', 'joy']","[('fear', 6), ('happy', 5), ('anger', 3), ('joy', 3)]"
50,exhausted,173,"['tired', 'relieved', 'happy', 'frustrated']","[('tired', 18), ('relieved', 2), ('happy', 2), ('frustrated', 2)]"
51,mad,165,"['angry', 'upset', 'sad', 'embarrassed']","[('angry', 14), ('upset', 12), ('sad', 11), ('embarrassed', 6)]"
52,hurt,162,"['scared', 'sad', 'angry', 'upset']","[('scared', 9), ('sad', 8), ('angry', 6), ('upset', 5)]"
53,irritated,162,"['annoyed', 'frustrated', 'angry', 'disappointed']","[('annoyed', 13), ('frustrated', 8), ('angry', 5), ('disappointed', 4)]"
54,good,160,"['happy', 'excited', 'proud', 'nice']","[('happy', 25), ('excited', 5), ('proud', 2), ('nice', 2)]"
55,joyful,155,"['happy', 'excited', 'elated', 'delight']","[('happy', 27), ('excited', 15), ('elated', 2), ('delight', 1)]"
56,elated,153,"['happy', 'excited', 'surprised', 'thrilled']","[('happy', 14), ('excited', 8), ('surprised', 5), ('thrilled', 3)]"
57,lonely,145,"['sad', 'bored', 'depressed', 'happy']","[('sad', 26), ('bored', 5), ('depressed', 4), ('happy', 3)]"
58,intrigued,144,"['happy', 'surprised', 'interested', 'entertained']","[('happy', 4), ('surprised', 2), ('interested', 1), ('entertained', 1)]"
59,adventurous,141,"['excited', 'happy', 'satisfied', 'eager']","[('excited', 5), ('happy', 3), ('satisfied', 2), ('eager', 1)]"
60,competent,141,"['surprised', 'knowledgeable', 'smart', 'satisfied']","[('surprised', 1), ('knowledgeable', 1), ('smart', 1), ('satisfied', 1)]"
61,lucky,140,"['thankful', 'happy', 'excited', 'proud']","[('thankful', 3), ('happy', 2), ('excited', 2), ('proud', 1)]"
62,calm,139,"['happy', 'content', 'relaxed', 'confident']","[('happy', 10), ('content', 4), ('relaxed', 3), ('confident', 2)]"
63,sick,135,"['tired', 'horrible', 'embarrassed', 'scared']","[('tired', 4), ('horrible', 2), ('embarrassed', 2), ('scared', 2)]"
64,fearful,128,"['nervous', 'scared', 'anxious', 'worried']","[('nervous', 7), ('scared', 7), ('anxious', 6), ('worried', 5)]"
65,motivated,119,"['excited', 'determined', 'happy', 'hopeful']","[('excited', 10), ('determined', 7), ('happy', 6), ('hopeful', 3)]"
66,ecstatic,118,"['proud', 'happy', 'excited', 'energized']","[('proud', 10), ('happy', 3), ('excited', 3), ('energized', 2)]"
67,thrilled,115,"['excited', 'happy', 'elated', 'delighted']","[('excited', 11), ('happy', 6), ('elated', 3), ('delighted', 3)]"
68,loving,113,"['happy', 'grateful', 'caring', 'lovable']","[('happy', 3), ('grateful', 2), ('caring', 2), ('lovable', 1)]"
69,stupid,111,"['embarrassed', 'upset', 'guilty', 'disappointed']","[('embarrassed', 5), ('upset', 3), ('guilty', 2), ('disappointed', 2)]"
70,frightened,110,"['scared', 'surprised', 'worried', 'fearful']","[('scared', 12), ('surprised', 4), ('worried', 3), ('fearful', 2)]"
71,friendly,109,"['happy', 'content', 'helpful', 'agreeable']","[('happy', 4), ('content', 3), ('helpful', 2), ('agreeable', 1)]"
72,desire,108,"['love', 'happy', 'anticipation', 'loved']","[('love', 1), ('happy', 1), ('anticipation', 1), ('loved', 1)]"
73,sorry,107,"['embarrassed', 'ashamed', 'sad', 'scared']","[('embarrassed', 5), ('ashamed', 4), ('sad', 4), ('scared', 2)]"
74,overwhelmed,107,"['sad', 'frustrated', 'obliged', 'helpful']","[('sad', 2), ('frustrated', 1), ('obliged', 1), ('helpful', 1)]"
75,unhappy,106,"['upset', 'sad', 'frustrated', 'disappointed']","[('upset', 10), ('sad', 10), ('frustrated', 6), ('disappointed', 5)]"
76,sadness,105,"['anger', 'fear', 'frustration', 'hurt']","[('anger', 11), ('fear', 4), ('frustration', 2), ('hurt', 2)]"
77,productive,104,"['busy', 'accomplished', 'tired', 'pressured']","[('busy', 2), ('accomplished', 2), ('tired', 1), ('pressured', 1)]"
78,responsible,104,"['panic', 'pressured', 'overwhelmed', 'secured']","[('panic', 1), ('pressured', 1), ('overwhelmed', 1), ('secured', 1)]"
79,regretful,103,"['sad', 'guilty', 'disappointed', 'angry']","[('sad', 4), ('guilty', 4), ('disappointed', 3), ('angry', 3)]"
80,nostalgic,100,"['happy', 'sad', 'embarrassed', 'scared']","[('happy', 5), ('sad', 2), ('embarrassed', 1), ('scared', 1)]"
81,glad,100,"['happy', 'excited', 'proud', 'relieved']","[('happy', 13), ('excited', 3), ('proud', 3), ('relieved', 2)]"
82,terrified,99,"['scared', 'ashamed', 'worried', 'concerned']","[('scared', 7), ('ashamed', 2), ('worried', 2), ('concerned', 2)]"
83,excitement,99,"['happiness', 'anticipation', 'joy', 'happy']","[('happiness', 7), ('anticipation', 7), ('joy', 6), ('happy', 2)]"
84,relief,98,"['happy', 'happiness', 'thankful', 'surprise']","[('happy', 8), ('happiness', 4), ('thankful', 2), ('surprise', 2)]"
85,delighted,97,"['happy', 'excited', 'thrilled', 'surprised']","[('happy', 17), ('excited', 5), ('thrilled', 3), ('surprised', 3)]"
86,indifferent,97,"['understanding', 'unconcerned', 'excited', 'impatient']","[('understanding', 1), ('unconcerned', 1), ('excited', 1), ('impatient', 1)]"
87,cautious,96,"['anxious', 'hesitant', 'embarrassed', 'nervous']","[('anxious', 2), ('hesitant', 2), ('embarrassed', 1), ('nervous', 1)]"
88,impatient,94,"['angry', 'annoyed', 'anxious', 'excited']","[('angry', 6), ('annoyed', 6), ('anxious', 3), ('excited', 3)]"
89,pain,94,"['fear', 'hurt', 'anger', 'sad']","[('fear', 3), ('hurt', 3), ('anger', 2), ('sad', 2)]"
90,stressed,94,"['worried', 'anxious', 'nervous', 'disappointed']","[('worried', 6), ('anxious', 6), ('nervous', 3), ('disappointed', 3)]"
91,bad,90,"['upset', 'sad', 'embarrassed', 'disappointed']","[('upset', 3), ('sad', 3), ('embarrassed', 2), ('disappointed', 2)]"
92,prepared,87,"['happy', 'strong', 'excited', 'hopeful']","[('happy', 5), ('strong', 3), ('excited', 3), ('hopeful', 2)]"
93,powerful,87,"['grateful', 'accomplished', 'happy', 'proud']","[('grateful', 1), ('accomplished', 1), ('happy', 1), ('proud', 1)]"
94,uncomfortable,84,"['upset', 'nervous', 'scared', 'anxious']","[('upset', 4), ('nervous', 3), ('scared', 2), ('anxious', 1)]"
95,aggravated,84,"['annoyed', 'upset', 'disgusted', 'mad']","[('annoyed', 6), ('upset', 4), ('disgusted', 3), ('mad', 2)]"
96,awkward,83,"['normal', 'uncomfortable', 'nervous', 'anxious']","[('normal', 1), ('uncomfortable', 1), ('nervous', 1), ('anxious', 1)]"
97,smart,81,"['accomplished', 'clever', 'knowledgeable', 'competent']","[('accomplished', 3), ('clever', 2), ('knowledgeable', 1), ('competent', 1)]"
98,disgust,80,"['anger', 'fear', 'angry', 'upset']","[('anger', 7), ('fear', 4), ('angry', 3), ('upset', 2)]"
99,defeated,79,"['sad', 'upset', 'frustrated', 'hopeful']","[('sad', 4), ('upset', 4), ('frustrated', 2), ('hopeful', 2)]"
100,fun,78,"['thankful', 'grateful', 'goofy', 'childish']","[('thankful', 1), ('grateful', 1), ('goofy', 1), ('childish', 1)]"
101,justified,77,"['happy', 'proud', 'repulsed']","[('happy', 2), ('proud', 2), ('repulsed', 1)]"
102,betrayed,77,"['angry', 'sad', 'upset', 'mad']","[('angry', 8), ('sad', 5), ('upset', 5), ('mad', 2)]"
103,rushed,77,"['anxious', 'hurried', 'eager', 'upset']","[('anxious', 2), ('hurried', 1), ('eager', 1), ('upset', 1)]"
104,great,76,"['happy', 'relieved', 'excited', 'proud']","[('happy', 16), ('relieved', 5), ('excited', 4), ('proud', 1)]"
105,amazed,76,"['happy', 'shocked', 'dazzled', 'excited']","[('happy', 3), ('shocked', 1), ('dazzled', 1), ('excited', 1)]"
106,pride,74,"['joy', 'satisfaction', 'happiness', 'accomplishment']","[('joy', 7), ('satisfaction', 6), ('happiness', 3), ('accomplishment', 2)]"
107,frustration,74,"['anger', 'sadness', 'sad', 'disappointment']","[('anger', 8), ('sadness', 3), ('sad', 2), ('disappointment', 2)]"
108,overjoyed,72,"['excited', 'happy', 'relieved', 'proud']","[('excited', 7), ('happy', 5), ('relieved', 2), ('proud', 2)]"
109,competitive,72,"['excited', 'motivated', 'determined', 'anxious']","[('excited', 4), ('motivated', 2), ('determined', 2), ('anxious', 2)]"
110,happiness,69,"['joy', 'excitement', 'anticipation', 'relief']","[('joy', 9), ('excitement', 7), ('anticipation', 5), ('relief', 4)]"
111,love,67,"['happy', 'sad', 'proud', 'grateful']","[('happy', 11), ('sad', 3), ('proud', 2), ('grateful', 1)]"
112,disappointing,67,"['sad', 'angry', 'embarrassed', 'annoyed']","[('sad', 6), ('angry', 5), ('embarrassed', 2), ('annoyed', 1)]"
113,playful,64,"['happy', 'energetic', 'excited', 'free']","[('happy', 3), ('energetic', 2), ('excited', 1), ('free', 1)]"
114,conflicted,64,"['surprised', 'impressed', 'disgusted', 'informed']","[('surprised', 1), ('impressed', 1), ('disgusted', 1), ('informed', 1)]"
115,confuse,64,[],[]
116,trust,64,"['joy', 'happy', 'surprise', 'anger']","[('joy', 3), ('happy', 3), ('surprise', 2), ('anger', 1)]"
117,creative,62,"['happy', 'excited', 'determined', 'fashionable']","[('happy', 3), ('excited', 3), ('determined', 1), ('fashionable', 1)]"
118,sympathetic,62,"['concerned', 'scared', 'surprised', 'supportive']","[('concerned', 3), ('scared', 1), ('surprised', 1), ('supportive', 1)]"
119,generous,60,"['happy', 'helpful', 'used', 'good']","[('happy', 4), ('helpful', 3), ('used', 1), ('good', 1)]"
120,impressed,60,"['surprised', 'relieved', 'happy', 'mesmerized']","[('surprised', 4), ('relieved', 2), ('happy', 2), ('mesmerized', 1)]"
121,panicked,59,"['upset', 'flustered', 'scared', 'alarmed']","[('upset', 2), ('flustered', 1), ('scared', 1), ('alarmed', 1)]"
122,caring,58,"['concerned', 'helpful', 'loving', 'hopeful']","[('concerned', 3), ('helpful', 2), ('loving', 2), ('hopeful', 2)]"
123,desperate,58,"['hopeful', 'sad', 'needy', 'determined']","[('hopeful', 5), ('sad', 3), ('needy', 2), ('determined', 2)]"
124,fulfilled,57,"['happy', 'satisfied', 'content', 'peaceful']","[('happy', 9), ('satisfied', 3), ('content', 1), ('peaceful', 1)]"
125,mischievous,57,['humerus'],"[('humerus', 1)]"
126,successful,56,"['happy', 'proud', 'accomplished', 'excited']","[('happy', 9), ('proud', 6), ('accomplished', 3), ('excited', 2)]"
127,uncertain,56,"['fear', 'anxious', 'excited', 'apprehensive']","[('fear', 4), ('anxious', 2), ('excited', 1), ('apprehensive', 1)]"
128,helpless,56,"['sad', 'heartbroken', 'scared', 'terrified']","[('sad', 5), ('heartbroken', 1), ('scared', 1), ('terrified', 1)]"
129,lazy,56,"['mirthful', 'entitled', 'hopeful', 'regretful']","[('mirthful', 1), ('entitled', 1), ('hopeful', 1), ('regretful', 1)]"
130,awe,55,['amazed'],"[('amazed', 1)]"
131,comfortable,55,"['happy', 'relaxed', 'warm', 'cold']","[('happy', 4), ('relaxed', 2), ('warm', 1), ('cold', 1)]"
132,safe,54,"['relieved', 'happy', 'secure', 'relief']","[('relieved', 3), ('happy', 2), ('secure', 2), ('relief', 1)]"
133,inspired,53,"['excited', 'determined', 'creative', 'eager']","[('excited', 2), ('determined', 2), ('creative', 1), ('eager', 1)]"
134,silly,53,"['frustrated', 'afraid', 'mischances', 'mad']","[('frustrated', 1), ('afraid', 1), ('mischances', 1), ('mad', 1)]"
135,entertained,52,"['happy', 'interested', 'intrigued', 'content']","[('happy', 7), ('interested', 1), ('intrigued', 1), ('content', 1)]"
136,ready,52,"['happy', 'eager', 'excited', 'anxious']","[('happy', 4), ('eager', 2), ('excited', 2), ('anxious', 2)]"
